month,rv,log_rv,NPI,ANP,SNP,NPI2,log_rv_lag1,log_rv_lag2,log_rv_lag3,log_rv_lag4,log_rv_lag5,log_rv_lag6,log_rv_lag7,log_rv_lag8,log_rv_lag9,log_rv_lag10,log_rv_lag11,log_rv_lag12
2005-01-31,0.002023551717145087,-6.2029010357120065,0.0,0.0,0.0,0.0,-6.194378077230192,-5.6856512695897585,-5.19165578855682,-6.168995114041153,-5.965784686882387,-5.552439425076024,-4.6787507630890435,-4.166731248628003,-5.5687334773839146,-5.676345023254147,-6.305599614847926,-6.647598929657179
2005-02-28,0.0018797023904038228,-6.2766418176482075,0.0,0.0,0.0,0.0,-6.2029010357120065,-6.194378077230192,-5.6856512695897585,-5.19165578855682,-6.168995114041153,-5.965784686882387,-5.552439425076024,-4.6787507630890435,-4.166731248628003,-5.5687334773839146,-5.676345023254147,-6.305599614847926
2005-03-31,0.0028036867755716227,-5.876820022336273,0.06471619296371924,0.0,0.06471619296371924,1.0,-6.2766418176482075,-6.2029010357120065,-6.194378077230192,-5.6856512695897585,-5.19165578855682,-6.168995114041153,-5.965784686882387,-5.552439425076024,-4.6787507630890435,-4.166731248628003,-5.5687334773839146,-5.676345023254147
2005-04-30,0.0023905560803803897,-6.036229270486869,0.0,0.0,0.0,0.0,-5.876820022336273,-6.2766418176482075,-6.2029010357120065,-6.194378077230192,-5.6856512695897585,-5.19165578855682,-6.168995114041153,-5.965784686882387,-5.552439425076024,-4.6787507630890435,-4.166731248628003,-5.5687334773839146
2005-05-31,0.0018142398536473237,-6.31208871240961,0.0,0.0,0.0,0.0,-6.036229270486869,-5.876820022336273,-6.2766418176482075,-6.2029010357120065,-6.194378077230192,-5.6856512695897585,-5.19165578855682,-6.168995114041153,-5.965784686882387,-5.552439425076024,-4.6787507630890435,-4.166731248628003
2005-06-30,0.0012573107482133788,-6.678780165755072,0.023265716723701348,0.0,0.023265716723701348,1.0,-6.31208871240961,-6.036229270486869,-5.876820022336273,-6.2766418176482075,-6.2029010357120065,-6.194378077230192,-5.6856512695897585,-5.19165578855682,-6.168995114041153,-5.965784686882387,-5.552439425076024,-4.6787507630890435
2005-07-31,0.0012100486016087598,-6.717094753561335,0.05660447032430321,0.0,0.05660447032430321,1.0,-6.678780165755072,-6.31208871240961,-6.036229270486869,-5.876820022336273,-6.2766418176482075,-6.2029010357120065,-6.194378077230192,-5.6856512695897585,-5.19165578855682,-6.168995114041153,-5.965784686882387,-5.552439425076024
2005-08-31,0.0031800230621947066,-5.750866829953862,0.10649218444595927,0.0,0.10649218444595927,1.0,-6.717094753561335,-6.678780165755072,-6.31208871240961,-6.036229270486869,-5.876820022336273,-6.2766418176482075,-6.2029010357120065,-6.194378077230192,-5.6856512695897585,-5.19165578855682,-6.168995114041153,-5.965784686882387
2005-09-30,0.0027190367228316485,-5.907477607416518,0.0,0.0,0.0,0.0,-5.750866829953862,-6.717094753561335,-6.678780165755072,-6.31208871240961,-6.036229270486869,-5.876820022336273,-6.2766418176482075,-6.2029010357120065,-6.194378077230192,-5.6856512695897585,-5.19165578855682,-6.168995114041153
2005-10-31,0.004673821632124495,-5.36577820531284,0.0,0.0,0.0,0.0,-5.907477607416518,-5.750866829953862,-6.717094753561335,-6.678780165755072,-6.31208871240961,-6.036229270486869,-5.876820022336273,-6.2766418176482075,-6.2029010357120065,-6.194378077230192,-5.6856512695897585,-5.19165578855682
