model,lag_only_log_MSE,oil_augmented_log_MSE,lag_only_log_MAPE,oil_augmented_log_MAPE,Oil_gain_R2_vs_same_algorithm_lag_only,Common_R2_lag_only_vs_lag_only_MLR,Common_R2_oil_augmented_vs_lag_only_MLR,n_eval
MLR,0.5566300032908749,0.5577893298103218,10.830329771669218,10.923783394766366,-0.002082759665474221,0.0,-0.002082759665474221,74
LASSO,0.556946367465198,0.559923410341878,10.834278553496517,10.866861180259166,-0.00534529543702611,-0.0005683563093126232,-0.0059166897787255035,74
SVR,0.578833559193011,0.5920952026047326,10.973066729666824,11.06852022413495,-0.02291097881437687,-0.03988925456922132,-0.06371413524995506,74
XGBoost,0.5835090863560041,0.594654492280416,11.012556317250286,11.111418162223927,-0.019100655302584313,-0.04828895838567138,-0.06831196443730114,74
LSTM,,,,,,,,0
MeanComb,0.5586753406640323,0.5620673408609042,10.797019798226101,10.86653084402646,-0.006071505130045951,-0.003674500765437072,-0.009768315645730663,74
MedianComb,0.5599994212088744,0.5598496777016425,10.820152649025493,10.83209389601179,0.00026739939642916877,-0.006053245240247529,-0.005784227209694848,74
TrimmedMeanComb,0.5599994212088744,0.5598496777016425,10.820152649025493,10.83209389601179,0.00026739939642916877,-0.006053245240247529,-0.005784227209694848,74
DMSPE_1.0,0.5593090758429856,0.5626141649261651,10.802981967934112,10.875603540656705,-0.005909235565681126,-0.004813022180392146,-0.01075069902792003,74
DMSPE_0.9,0.5593783425441511,0.5628773742232845,10.80271046307488,10.872417459716957,-0.006255214785791052,-0.004937461575961866,-0.011223561244407154,74
